strategy,period,trades,start_equity,end_equity,net_profit,return,profit_factor,win_rate,max_drawdown
Premium/Discount Long 1m,2015-12,785,-132178.5,-134535.5,-2357.0,-0.09428,0.11507415055378262,0.11082802547770701,2359.5
Premium/Discount Long 1m,2016-01,966,-134535.5,-137396.0,-2860.5,-0.11442,0.20728834695857004,0.21739130434782608,2863.0
Premium/Discount Long 1m,2016-02,1044,-137396.0,-140263.5,-2867.5,-0.1147,0.1585974178403756,0.15134099616858238,2867.5
Premium/Discount Long 1m,2016-03,881,-140263.5,-142887.5,-2624.0,-0.10496,0.05236547490068617,0.06356413166855845,2630.0
Premium/Discount Long 1m,2016-04,1005,-142887.5,-145825.5,-2938.0,-0.11752,0.06149177447692062,0.0845771144278607,2938.0
Premium/Discount Long 1m,2016-05,740,-145825.5,-148105.0,-2279.5,-0.09118,0.039806234203875315,0.05405405405405406,2281.5
Premium/Discount Long 1m,2016-06,958,-148105.0,-150886.5,-2781.5,-0.11126,0.09764801297648013,0.08037578288100208,2781.5
Premium/Discount Long 1m,2016-07,637,-150886.5,-152670.0,-1783.5,-0.07134,0.040871201936004305,0.061224489795918366,1783.5
Premium/Discount Long 1m,2016-08,718,-152670.0,-154807.0,-2137.0,-0.08548,0.027531285551763367,0.03064066852367688,2137.0
Premium/Discount Long 1m,2016-09,773,-154807.0,-157221.0,-2414.0,-0.09656,0.02778896496173983,0.05821474773609314,2416.0
Premium/Discount Long 1m,2016-10,735,-157221.0,-159432.5,-2211.5,-0.08846,0.03280122457905095,0.053061224489795916,2211.5
Premium/Discount Long 1m,2016-11,886,-159432.5,-162304.0,-2871.5,-0.11486,0.10531235394921327,0.09142212189616253,2878.5
Premium/Discount Long 1m,2016-12,707,-162304.0,-164438.0,-2134.0,-0.08536,0.05742049469964664,0.06364922206506365,2134.0
Premium/Discount Long 1m,2017-01,621,-164438.0,-166374.0,-1936.0,-0.07744,0.014507508271824891,0.02254428341384863,1936.0
Premium/Discount Long 1m,2017-02,628,-166374.0,-168330.5,-1956.5,-0.07826,0.011619095731245263,0.02388535031847134,1956.5
Premium/Discount Long 1m,2017-03,772,-168330.5,-170707.0,-2376.5,-0.09506,0.02462548737943772,0.04404145077720207,2376.5
Premium/Discount Long 1m,2017-04,552,-170707.0,-172405.5,-1698.5,-0.06794,0.045786516853932584,0.06702898550724638,1698.5
Premium/Discount Long 1m,2017-05,695,-172405.5,-174611.0,-2205.5,-0.08822,0.02755731922398589,0.04892086330935252,2205.5
Premium/Discount Long 1m,2017-06,633,-174611.0,-176463.0,-1852.0,-0.07408,0.1670789296154711,0.13902053712480253,1852.0
Premium/Discount Long 1m,2017-07,573,-176463.0,-178118.5,-1655.5,-0.06622,0.0916323731138546,0.09773123909249563,1655.5
Premium/Discount Long 1m,2017-08,782,-178118.5,-180589.0,-2470.5,-0.09882,0.08432171979243884,0.09335038363171355,2470.5
Premium/Discount Long 1m,2017-09,504,-180589.0,-182132.5,-1543.5,-0.06174,0.08641609943770347,0.09325396825396826,1543.5
Premium/Discount Long 1m,2017-10,670,-182132.5,-184121.5,-1989.0,-0.07956,0.03516856657773466,0.04776119402985075,1989.0
Premium/Discount Long 1m,2017-11,626,-184121.5,-185998.0,-1876.5,-0.07506,0.09544468546637744,0.09105431309904154,1881.0
Premium/Discount Long 1m,2017-12,627,-185998.0,-187837.0,-1839.0,-0.07356,0.1290551740468861,0.11164274322169059,1841.5
Premium/Discount Long 1m,2018-01,601,-187837.0,-189729.5,-1892.5,-0.0757,0.10562381852551984,0.10981697171381032,1892.5
Premium/Discount Long 1m,2018-02,744,-189729.5,-192481.0,-2751.5,-0.11006,0.2864367219917012,0.24059139784946237,2768.5
Premium/Discount Long 1m,2018-03,845,-192481.0,-195297.0,-2816.0,-0.11264,0.28816986855409504,0.24497041420118343,2832.5
Premium/Discount Long 1m,2018-04,766,-195297.0,-197785.0,-2488.0,-0.09952,0.2834101382488479,0.2454308093994778,2488.0
Premium/Discount Long 1m,2018-05,827,-197785.0,-200390.0,-2605.0,-0.1042,0.14054767403497195,0.15114873035066506,2611.5
Premium/Discount Long 1m,2018-06,666,-200390.0,-202390.0,-2000.0,-0.08,0.21491658488714427,0.16966966966966968,2015.5
Premium/Discount Long 1m,2018-07,703,-202390.0,-204610.5,-2220.5,-0.08882,0.14530408006158582,0.1593172119487909,2221.5
Premium/Discount Long 1m,2018-08,716,-204610.5,-206761.0,-2150.5,-0.08602,0.11556652272259922,0.11592178770949721,2154.0
Premium/Discount Long 1m,2018-09,715,-206761.0,-208868.0,-2107.0,-0.08428,0.17014572666404096,0.12727272727272726,2107.0
Premium/Discount Long 1m,2018-10,1019,-208868.0,-211999.0,-3131.0,-0.12524,0.3803680981595092,0.2934249263984298,3142.0
Premium/Discount Long 1m,2018-11,825,-211999.0,-214337.5,-2338.5,-0.09354,0.3140217072455265,0.25575757575757574,2338.5
Premium/Discount Long 1m,2018-12,743,-214337.5,-216684.0,-2346.5,-0.09386,0.43661464585834336,0.2920592193808883,2397.5
Premium/Discount Long 1m,2019-01,686,-216684.0,-218568.0,-1884.0,-0.07536,0.24169853089152746,0.22448979591836735,1885.5
